,host_is_superhost,zipcode,bathrooms,bedrooms,beds,bed_type_Real Bed,bed_type_Futon,bed_type_Couch,bed_type_Pull-out Sofa,bed_type_Airbed,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability_1,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable_1,instant_bookable_0,cancellation_policy_strict_14_with_grace_period,cancellation_policy_moderate,cancellation_policy_flexible,cancellation_policy_super_strict_60,cancellation_policy_super_strict_30,cancellation_policy_strict,require_guest_profile_picture_0,require_guest_profile_picture_1,require_guest_phone_verification_0,require_guest_phone_verification_1,calculated_host_listings_count,reviews_per_month,latitude,longitude,host_days,first_review_days,last_review_days,avg_price
0,1.0,98122.0,2.5,4.0,4.0,1,0,0,0,0,296.0,500.0,250.0,8,25.0,7,1000,1,6,29,59,59,29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,0,0,0,1,0,1,0,2,0.21,47.610820000000004,-122.29082,4103.0,4082.0,21.0,139.88920725883477
1,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,68.0,0.0,85.0,2,40.0,3,30,1,9,37,67,342,384,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0,0,0,0,0,1,0,1,1,3.75,47.61231,-122.29825,3082.0,3066.0,1.0,139.88920725883477
2,1.0,98122.0,1.0,2.0,2.0,1,0,0,0,0,500.0,0.0,65.0,1,0.0,30,60,1,0,0,0,0,55,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,0,0,0,0,1,0,1,0,3,1.21,47.61038,-122.31156999999999,2840.0,1366.0,87.0,139.88920725883477
3,1.0,98122.0,1.0,1.0,2.0,1,0,0,0,0,155.0,0.0,75.0,1,0.0,30,200,1,9,12,12,171,54,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0,0,0,1,0,1,0,6,0.6,47.61367,-122.32203,2829.0,2695.0,78.0,139.88920725883477
4,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,196.0,0.0,100.0,1,0.0,3,29,1,18,45,75,154,123,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0,0,0,1,0,1,0,6,1.35,47.613040000000005,-122.32321,2829.0,2723.0,10.0,139.88920725883477
5,1.0,98122.0,1.0,2.0,2.0,1,0,0,0,0,269.0,100.0,50.0,2,25.0,2,18,1,3,26,56,86,171,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,1,0,0,0,0,1,0,1,0,2,3.21,47.60907,-122.29613,2788.0,1597.0,32.0,139.88920725883477
6,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,168.0,0.0,75.0,1,0.0,30,90,1,18,36,66,66,51,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,0,0,0,0,0,1,0,1,0,6,0.65,47.61355,-122.32131000000001,2829.0,2354.0,80.0,139.88920725883477
7,0.0,98122.0,3.0,4.0,5.0,1,0,0,0,0,250.0,0.0,100.0,1,0.0,3,21,1,26,53,83,351,15,93.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0.29,47.60975,-122.29011000000001,2661.0,1575.0,79.0,139.88920725883477
8,1.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,140.0,0.0,62.0,1,0.0,3,1125,1,3,18,42,127,456,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,0,0,0,0,0,0,1,0,1,1,6.15,47.60903,-122.31548000000001,2572.0,2221.0,5.0,139.88920725883477
9,0.0,98122.0,2.5,2.0,4.0,1,0,0,0,0,200.0,300.0,75.0,4,10.0,2,1125,1,0,0,0,0,1,97.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0.01,47.606320000000004,-122.29483,2563.0,2286.0,2288.0,139.88920725883477
